wdcode,pid,id,dbcode,name,isParent,urlnext
zb,,A01,hgjd,国民经济核算,True,http://data.stats.gov.cn/easyquery.htm?id=A01&dbcode=hgjd&wdcode=zb&m=getTree
zb,,A02,hgjd,农业,True,http://data.stats.gov.cn/easyquery.htm?id=A02&dbcode=hgjd&wdcode=zb&m=getTree
zb,,A03,hgjd,工业,True,http://data.stats.gov.cn/easyquery.htm?id=A03&dbcode=hgjd&wdcode=zb&m=getTree
zb,,A04,hgjd,建筑业,True,http://data.stats.gov.cn/easyquery.htm?id=A04&dbcode=hgjd&wdcode=zb&m=getTree
zb,,A05,hgjd,人民生活,True,http://data.stats.gov.cn/easyquery.htm?id=A05&dbcode=hgjd&wdcode=zb&m=getTree
zb,,A06,hgjd,价格指数,True,http://data.stats.gov.cn/easyquery.htm?id=A06&dbcode=hgjd&wdcode=zb&m=getTree
zb,A01,A0101,hgjd,国内生产总值(现价),False,
zb,A01,A0102,hgjd,国内生产总值(不变价),False,
zb,A01,A0103,hgjd,国内生产总值指数,False,
zb,A01,A0104,hgjd,国内生产总值环比增长速度,False,
zb,A06,A0601,hgjd,农产品生产价格指数,False,
zb,A06,A0602,hgjd,固定资产投资价格指数_当季,False,
zb,A02,A0201,hgjd,农林牧渔业总产值,False,
zb,A03,A0301,hgjd,主要工业产品的销售与库存,True,http://data.stats.gov.cn/easyquery.htm?id=A0301&dbcode=hgjd&wdcode=zb&m=getTree
zb,A06,A0603,hgjd,固定资产投资价格指数_累计值,False,
zb,A04,A0401,hgjd,建筑业总产值,False,
zb,A04,A0402,hgjd,建筑业企业签订合同情况,False,
zb,A05,A0501,hgjd,居民收支基本情况(新口径),False,
zb,A05,A0502,hgjd,城镇居民收支基本情况(新口径),False,
zb,A04,A0403,hgjd,建筑业企业房屋建筑施工面积,False,
zb,A04,A0404,hgjd,建筑业企业个数、从业人数和劳动生产率,False,
zb,A04,A0405,hgjd,建筑业企业房屋建筑竣工面积,False,
zb,A05,A0503,hgjd,农村居民收支基本情况(新口径),False,
zb,A05,A0511,hgjd,城镇居民家庭收支基本情况,False,
zb,A05,A0512,hgjd,农村居民家庭收支基本情况,False,
zb,A04,A0406,hgjd,建筑业企业房屋建筑竣工价值,False,
zb,A04,A0407,hgjd,建筑业企业总收入,False,
zb,A04,A0408,hgjd,建筑业企业利润,False,
zb,A05,A0514,hgjd,外出务工,False,
zb,A04,A0409,hgjd,建筑业企业费用情况,False,
zb,A04,A040A,hgjd,建筑业企业资产负债情况,False,
zb,A04,A040B,hgjd,国有及国有控股建筑业企业建筑业总产值,False,
zb,A04,A040C,hgjd,国有及国有控股建筑业企业签订合同情况,False,
zb,A04,A040D,hgjd,国有及国有控股建筑业企业房屋建筑施工面积,False,
zb,A04,A040E,hgjd,国有及国有控股建筑业企业个数、从业人数和劳动生产率,False,
zb,A04,A040F,hgjd,国有及国有控股建筑业企业房屋建筑竣工面积,False,
zb,A04,A040G,hgjd,国有及国有控股建筑业企业房屋建筑竣工价值,False,
zb,A04,A040H,hgjd,国有及国有控股建筑业企业总收入,False,
zb,A04,A040I,hgjd,国有及国有控股建筑业企业利润,False,
zb,A04,A040J,hgjd,国有及国有控股建筑业企业费用情况,False,
zb,A04,A040K,hgjd,国有及国有控股建筑业企业资产负债情况,False,
zb,A0301,A030101,hgjd,铁矿石原矿,False,
zb,A0301,A030102,hgjd,原盐,False,
zb,A0301,A030103,hgjd,成品糖,False,
zb,A0301,A030104,hgjd,精制食用植物油,False,
zb,A0301,A030105,hgjd,乳制品,False,
zb,A0301,A030106,hgjd,白酒(折65度，商品量),False,
zb,A0301,A030107,hgjd,啤酒,False,
zb,A0301,A030108,hgjd,软饮料,False,
zb,A0301,A030109,hgjd,卷烟,False,
zb,A0301,A03010A,hgjd,纱,False,
zb,A0301,A03010B,hgjd,布,False,
zb,A0301,A03010C,hgjd,服装,False,
zb,A0301,A03010D,hgjd,棉布,False,
zb,A0301,A03010E,hgjd,棉混纺布(混纺交织布),False,
zb,A0301,A03010F,hgjd,化学纤维布(纯化纤布),False,
zb,A0301,A03010G,hgjd,毛机织物(呢绒),False,
zb,A0301,A03010H,hgjd,机制纸及纸板,False,
zb,A0301,A03010I,hgjd,硫酸(折100%),False,
zb,A0301,A03010J,hgjd,烧碱(折100%),False,
zb,A0301,A03010K,hgjd,纯碱(碳酸钠),False,
zb,A0301,A03010L,hgjd,碳化钙(电石，折300升/千克),False,
zb,A0301,A03010M,hgjd,乙烯,False,
zb,A0301,A03010N,hgjd,合成氨(无水氨),False,
zb,A0301,A03010O,hgjd,汽油,False,
zb,A0301,A03010P,hgjd,煤油,False,
zb,A0301,A03010Q,hgjd,柴油,False,
zb,A0301,A03010R,hgjd,农用氮磷钾化学肥料总计(折纯),False,
zb,A0301,A03010S,hgjd,氮肥(折含氮100%),False,
zb,A0301,A03010T,hgjd,磷肥(折五氧化二磷100%),False,
zb,A0301,A03010U,hgjd,化学农药原药(折有效成份100%),False,
zb,A0301,A03010V,hgjd,涂料,False,
zb,A0301,A03010W,hgjd,初级形态塑料,False,
zb,A0301,A03010X,hgjd,合成橡胶,False,
zb,A0301,A03010Y,hgjd,合成洗涤剂,False,
zb,A0301,A03010Z,hgjd,化学药品原药,False,
zb,A0301,A030110,hgjd,化学纤维,False,
zb,A0301,A030111,hgjd,橡胶轮胎外胎,False,
zb,A0301,A030112,hgjd,塑料制品,False,
zb,A0301,A030113,hgjd,农用薄膜,False,
zb,A0301,A030114,hgjd,水泥,False,
zb,A0301,A030115,hgjd,平板玻璃,False,
zb,A0301,A030116,hgjd,生铁,False,
zb,A0301,A030117,hgjd,粗钢,False,
zb,A0301,A030118,hgjd,钢材,False,
zb,A0301,A030119,hgjd,盘条(线材),False,
zb,A0301,A03011A,hgjd,十种有色金属,False,
zb,A0301,A03011B,hgjd,氧化铝,False,
zb,A0301,A03011C,hgjd,原铝(电解铝),False,
zb,A0301,A03011D,hgjd,金属切削机床,False,
zb,A0301,A03011E,hgjd,挖掘机,False,
zb,A0301,A03011F,hgjd,大型拖拉机,False,
zb,A0301,A03011G,hgjd,中型拖拉机,False,
zb,A0301,A03011H,hgjd,小型拖拉机,False,
zb,A0301,A03011I,hgjd,汽车,False,
zb,A0301,A03011J,hgjd,轿车,False,
zb,A0301,A03011K,hgjd,运动型多用途用车(SUV),False,
zb,A0301,A03011L,hgjd,载货汽车,False,
zb,A0301,A03011M,hgjd,新能源汽车,False,
zb,A0301,A03011N,hgjd,摩托车,False,
zb,A0301,A03011O,hgjd,两轮脚踏自行车(自行车),False,
zb,A0301,A03011P,hgjd,民用钢质船舶,False,
zb,A0301,A03011Q,hgjd,发电机组(发电设备),False,
zb,A0301,A03011R,hgjd,家用洗衣机,False,
zb,A0301,A03011S,hgjd,家用吸尘器,False,
zb,A0301,A03011T,hgjd,家用电冰箱,False,
zb,A0301,A03011U,hgjd,家用冷柜,False,
zb,A0301,A03011V,hgjd,家用电风扇,False,
zb,A0301,A03011W,hgjd,房间空气调节器,False,
zb,A0301,A03011X,hgjd,电子计算机整机,False,
zb,A0301,A03011Y,hgjd,移动通信手持机(手机),False,
zb,A0301,A03011Z,hgjd,吸排油烟机,False,
zb,A0301,A030120,hgjd,电饭锅,False,
zb,A0301,A030121,hgjd,微型计算机设备,False,
zb,A0301,A030122,hgjd,彩色电视机,False,
zb,A0301,A030123,hgjd,集成电路,False,
zb,A0301,A030124,hgjd,数字激光音视盘机,False,
zb,A0301,A030125,hgjd,组合音响,False,
zb,A0301,A030126,hgjd,照相机,False,
